BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6
BGC0000189,TPP_enzyme_M,0.5455795422196388,0.42896558677311986,0.21015585555828692,0.32585912654708266,0.16698789765926847,0.04668277515065846,5.6229543884001035e-05
BGC0000244,Meth_synt_2,0.5370447728782892,0.23653901127981952,0.4080192690155144,0.2426193828252731,0.07455711907088443,0.27807390512969227,5.426015303227061e-05
BGC0000281,Chal_sti_synt_N,0.8867543071508408,0.8226325687923236,0.7723906486859071,0.5426676597445009,0.23443958386022584,0.16600479522963135,8.124482307302061e-06
BGC0000342,AMP-binding,0.9570162415504455,0.7234082117676734,0.47950274934992193,0.36240599706652576,0.20815056227438616,0.0035874616050932673,0.0006312197097827265
BGC0000348,Condensation,0.2779897477477789,0.3312013242393732,0.15681865154772012,0.10591468354687095,0.07142845628924306,0.08464175447213781,6.6856190088882e-05
BGC0000468,Peptidase_M17_N,0.45925186201930046,0.5174628104057778,0.32019890092961345,0.22196039785756305,0.2700400956230013,0.17475261220980087,7.011658853350866e-06
BGC0000520,ABC_membrane,0.8259773820638656,0.7015000343322754,0.5726265843957663,0.4732992258155718,0.2646369431458879,0.01001611897265775,0.00024504177247877126
BGC0000528,Response_reg,0.9647743165493011,0.7514349162578583,0.8104772448539734,0.7801486164331436,0.31541403610026464,0.11860868815492723,0.0012471785182697204
BGC0000543,ABC_tran,0.9509733319282532,0.9332896828651428,0.569428930978745,0.6643376999934845,0.4313857395434752,0.08331870814581635,0.00573362460709177
BGC0000560,ABC_tran,0.9749836325645447,0.8739788069564384,0.5931768783981113,0.6525032864838523,0.30053725642553675,0.002437755747132542,0.005806189310260379
BGC0000564,Nitroreductase,0.7848247736692429,0.5423454173374921,0.3121472468570573,0.2988192120043095,0.05655918842894607,0.0037056134654449126,0.0007032991419691825
BGC0000566,DUF5968,0.7798221070319414,0.4158013519769156,0.6016306016618296,0.3772530860563421,0.10233827932781234,1.8152692057249454e-05,5.957028076828408e-05
BGC0000569,ABC2_membrane,0.1668398403795436,0.11777834910317324,0.12258451968955342,0.034056770330244034,0.009243610099301237,0.010268047756883192,2.8515102565052074e-05
BGC0000585,Peptidase_S66C,0.7757521712221205,0.5766377017120249,0.46239252958673716,0.1449798820728688,0.06176270285837404,0.06461900077912927,2.038527790926281e-05
BGC0000589,Peptidase_C39,0.9957543790340424,0.8789158284664154,0.678890797495842,0.3597885640068853,0.03326569462551561,0.009247845749979434,0.0001443137905715375
BGC0000597,HTH_IclR,0.8337667047977447,0.47377139357849957,0.4151416933224027,0.26490819545567773,0.04580264510968455,0.00013234177219274558,1.89237322980762e-05
BGC0000600,ABC_tran,0.8966526210308075,0.7374295624904335,0.31100091120461004,0.6704701863491209,0.16587693949727508,0.105033649766807,0.0026893153897162847
BGC0000617,ABC_membrane,0.6215881645679474,0.6206631243228913,0.4450974997176672,0.424656232916459,0.15075294155832922,0.14030090612204305,0.00015540055134537488
BGC0000619,Peptidase_C39,0.7528399527072906,0.5871175376407336,0.4342210604110733,0.1402457061878067,0.04710184473090066,0.050974558503833624,0.0009015665720319532
BGC0000650,Amino_oxidase,0.9639770030975342,0.787232631444931,0.5237713530659676,0.2929218853183556,0.17129212501458824,0.04432875794568645,0.0002609679877423332
