BGC_ID,masked_token,Num_Replacements=0,Num_Replacements=1,Num_Replacements=2,Num_Replacements=3,Num_Replacements=4,Num_Replacements=5,Num_Replacements=6,Num_Replacements=7,Num_Replacements=8,Num_Replacements=9,Num_Replacements=10,Num_Replacements=11,Num_Replacements=12
BGC0000012,ketoacyl-synt,0.9922717392444611,0.9966616451740264,0.9942451477050781,0.7916225898079574,0.9064624637365342,0.843321287073195,0.8669741343706846,0.41106101810801193,0.3368978741083993,0.33497732438722777,0.08233996224169005,0.011116054331108027,3.314099449625019e-05
BGC0000064,PP-binding,0.8180611699819564,0.5004052251577378,0.6526111885905266,0.3637731545139104,0.4532034769654274,0.33966372391441835,0.20240708753699438,0.10980478345882147,0.048470305146247485,0.00782139148832357,0.000987926014011009,5.3185585602477656e-05,3.477506818398979e-05
BGC0000104,PP-binding,0.9211808264255523,0.6961393922567367,0.7188734814524651,0.4890119519084692,0.4827842712402344,0.3229865416884422,0.22290979336248712,0.18835636582225562,0.13018043679912808,0.019202932394259166,0.005260423055005958,0.001446669207417095,1.5289198852741493e-06
BGC0000160,GMC_oxred_C,0.9558809399604797,0.7613757247105241,0.7744213234633207,0.8715794563293457,0.48153541442370623,0.45528206572930685,0.4525014688148076,0.22758793641939973,0.17112193134017417,0.09479967543354632,0.0550377333321677,0.10581230744554873,0.0004861637123621726
BGC0000193,NTP_transferase,0.2808157231193036,0.15413999510928988,0.09114765264093876,0.06266644693678244,0.016415581916226073,0.027711579680908472,0.006136658998730127,0.00563265416512877,0.008890457640154637,0.0011657163176380437,0.001126951677724719,0.0040832968594259,0.0007659549573872937
BGC0000292,AMP-binding,0.9942598819732666,0.9270359605550766,0.7834194934461266,0.916756933927536,0.793498033285141,0.6294663220643997,0.5103900109621463,0.35701446812818177,0.11224518434291894,0.22938391552606846,0.07661035515994855,0.07106867106057893,0.0011192761514474015
BGC0000372,Condensation,0.9955352365970611,0.9877487242221832,0.9302769303321838,0.8520254582166672,0.8269313007593155,0.6547197632491588,0.3179593676701188,0.38110892917720773,0.5145998612046242,0.10324022690919961,0.033950126847852855,0.00955712954213982,4.467388200879441e-06
BGC0000410,ABC_tran,0.9993916630744935,0.9866682410240173,0.9498800575733185,0.8112258315086365,0.7075646231460269,0.5798166330588174,0.8875424563884735,0.30267397364368664,0.25256716083968056,0.40228545052814296,0.28940285818534905,0.14860666976994708,0.0016539795269366665
BGC0000416,AMP-binding,0.9549571990966796,0.9849623501300812,0.673369225859642,0.6043417999520898,0.5497007779311389,0.45458975796063894,0.3731853239238262,0.32687515375055226,0.05478827728553313,0.2084481063205544,0.028700478317728085,0.0012399459174503135,5.546319070219852e-05
BGC0000420,Condensation,0.9940558731555938,0.8945497334003448,0.9830778539180756,0.8822945594787598,0.6989544689655304,0.7016650170087815,0.5376532204449177,0.44481381587684155,0.37601686995476485,0.15783881819515955,0.01280832244655059,0.028819997412404395,1.8680414154814696e-06
BGC0000451,TonB_dep_Rec,0.9681134998798371,0.8837615340948105,0.7318160271737725,0.8109803855419159,0.5489103895085463,0.5982797499047592,0.5229001593089379,0.2153876318363473,0.3243842715513502,0.001131279697648324,0.058589482376521576,0.0111227517334612,0.002003718082079331
BGC0000471,PatG_C,0.845538142323494,0.7874049380421638,0.8310686707496643,0.6175291068851948,0.5211979543746565,0.48273661025068576,0.23084549193437454,0.27452249544967644,0.14236484116117937,0.07949787441116314,0.04027703088505748,0.07740886895776296,9.228334040711772e-07
BGC0000481,PatG_C,0.9941522896289825,0.9290310263633728,0.9528337597846985,0.8400244459509849,0.5862042794673471,0.8602858364582062,0.3932495709137129,0.4768729614937911,0.249281506362604,0.09897743149919673,0.13877787932106217,1.1991086229623527e-06,2.8321088829053044e-06
BGC0000498,Peptidase_C39,0.9993127942085266,0.9824536204338074,0.9679506480693817,0.6966007489478215,0.2635048358032918,0.4538573445548536,0.4354333870112896,0.10988323056101308,0.1966442801479019,0.009238675443236222,0.00751832639475083,0.0002587601996168143,0.0002800162335290679
BGC0000527,DUF4135,0.7466916538774967,0.5550761047750712,0.5679612895137212,0.44553109174012206,0.2488866743869039,0.1889277620417616,0.3800458772215227,0.011568379474755058,0.32409296931371046,0.015224178035637114,0.09615722119970513,6.0581041463314554e-05,2.0324484071210237e-05
BGC0000537,Response_reg,0.9945198953151703,0.9495062232017517,0.8753195092082023,0.8191299930214881,0.8477100027375855,0.6377230125279312,0.6663161209515238,0.413738255890712,0.2818725863005966,0.38118377136415804,0.1311384557949083,0.026845377490008104,0.005103637293615293
BGC0000672,p450,0.001923030112084234,0.015982615343818906,0.014561904953302474,0.05426845564661562,0.03703154681716114,0.05377641672967002,0.02616194801230449,0.049757238802703795,0.03280187909258529,0.007349288096884265,0.012728870084902155,0.013630111665770528,0.0013009975791646866
BGC0000678,Glyoxalase_6,0.9210722506046295,0.8871124480934668,0.9373852670192718,0.5680886704209115,0.7882435656079906,0.34019888400525816,0.04632516665652346,0.34130467460333874,0.21825645252065443,0.33415078023485306,0.13215019703067982,0.08219476533697603,8.798610771886816e-05
BGC0000694,GMC_oxred_C,0.8969302892684936,0.9011955678462982,0.728983510582475,0.5862643068912803,0.6122674757658387,0.4927522246835565,0.36805038974762283,0.4064210981757414,0.2377164526176724,0.3478244727980712,8.974182701343703e-05,0.0005106852553637964,5.210581117012225e-05
BGC0000753,TPR_2,0.8239921450614929,0.9088385581970215,0.9038013577461242,0.8776540577411651,0.8629359602928162,0.8251177549362183,0.8243976682424545,0.8354775011539459,0.6184916079044342,0.7250093558803201,0.61674272128148,0.2873240651046217,0.000827456741211563
BGC0000772,ABC_tran,0.3288275647908449,0.3560460625216365,0.2366503415396437,0.3978856918402016,0.24158004876226186,0.24306550634209997,0.1144238387765654,0.1231030886323424,0.2062259722928502,0.06392825408511271,0.011412623280193657,0.11952377026900649,0.005668540710757952
