ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34918.1,KZ679287.1,hypothetical protein,2141,2376,+,DUF3435,PF11917.11,6.3e-51,3.2e-55,6.3e-51,19,418,193,627,176,627,0.92
PTB34918.1,KZ679287.1,hypothetical protein,2141,2376,+,DUF3435,PF11917.11,6.3e-51,0.057,1.1e+03,267,336,715,784,709,793,0.79
PTB34918.1,KZ679287.1,hypothetical protein,2433,2646,+,DUF3435,PF11917.11,6.3e-51,3.2e-55,6.3e-51,19,418,193,627,176,627,0.92
PTB34918.1,KZ679287.1,hypothetical protein,2433,2646,+,DUF3435,PF11917.11,6.3e-51,0.057,1.1e+03,267,336,715,784,709,793,0.79
PTB34918.1,KZ679287.1,hypothetical protein,2716,3200,+,DUF3435,PF11917.11,6.3e-51,3.2e-55,6.3e-51,19,418,193,627,176,627,0.92
PTB34918.1,KZ679287.1,hypothetical protein,2716,3200,+,DUF3435,PF11917.11,6.3e-51,0.057,1.1e+03,267,336,715,784,709,793,0.79
PTB34918.1,KZ679287.1,hypothetical protein,3269,3618,+,DUF3435,PF11917.11,6.3e-51,3.2e-55,6.3e-51,19,418,193,627,176,627,0.92
PTB34918.1,KZ679287.1,hypothetical protein,3269,3618,+,DUF3435,PF11917.11,6.3e-51,0.057,1.1e+03,267,336,715,784,709,793,0.79
PTB34918.1,KZ679287.1,hypothetical protein,3704,4803,+,DUF3435,PF11917.11,6.3e-51,3.2e-55,6.3e-51,19,418,193,627,176,627,0.92
PTB34918.1,KZ679287.1,hypothetical protein,3704,4803,+,DUF3435,PF11917.11,6.3e-51,0.057,1.1e+03,267,336,715,784,709,793,0.79
PTB34923.1,KZ679287.1,hypothetical protein,15347,15645,+,Methyltransf_33,PF10017.12,4.8e-26,3.3e-30,6.5e-26,41,301,69,330,59,336,0.89
PTB34923.1,KZ679287.1,hypothetical protein,15694,16388,+,Methyltransf_33,PF10017.12,4.8e-26,3.3e-30,6.5e-26,41,301,69,330,59,336,0.89
PTB34923.1,KZ679287.1,hypothetical protein,16579,16670,+,Methyltransf_33,PF10017.12,4.8e-26,3.3e-30,6.5e-26,41,301,69,330,59,336,0.89
PTB34924.1,KZ679287.1,hypothetical protein,18193,18637,-,HNH_2,PF13391.9,7e-11,7.9e-15,1.6e-10,1,72,258,342,258,343,0.80
PTB34924.1,KZ679287.1,hypothetical protein,16993,18137,-,HNH_2,PF13391.9,7e-11,7.9e-15,1.6e-10,1,72,258,342,258,343,0.80
PTB34927.1,KZ679287.1,hypothetical protein,24071,24607,-,HlyIII,PF03006.23,5.4e-52,3.4e-56,6.6e-52,2,223,67,289,66,290,0.94
PTB34927.1,KZ679287.1,hypothetical protein,23783,24013,-,HlyIII,PF03006.23,5.4e-52,3.4e-56,6.6e-52,2,223,67,289,66,290,0.94
PTB34927.1,KZ679287.1,hypothetical protein,23557,23718,-,HlyIII,PF03006.23,5.4e-52,3.4e-56,6.6e-52,2,223,67,289,66,290,0.94
PTB34937.1,KZ679287.1,hypothetical protein,40165,41421,-,DUF3723,PF12520.11,3.9e-61,2.5e-63,4.9e-59,97,392,34,336,22,343,0.94
PTB34937.1,KZ679287.1,hypothetical protein,40165,41421,-,DUF3723,PF12520.11,3.9e-61,0.00042,8.3,460,508,356,405,339,405,0.83
