ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB37472.1,KZ679267.1,hypothetical protein,1754,3053,-,GATA,PF00320.30,8.2e-16,1.6e-19,1.5e-15,1,36,430,465,430,465,0.97
PTB37472.1,KZ679267.1,hypothetical protein,1754,3053,-,PAS_3,PF08447.15,2.7e-13,5.2e-17,5.1e-13,3,74,165,234,163,240,0.94
PTB37472.1,KZ679267.1,hypothetical protein,1484,1638,-,GATA,PF00320.30,8.2e-16,1.6e-19,1.5e-15,1,36,430,465,430,465,0.97
PTB37472.1,KZ679267.1,hypothetical protein,1484,1638,-,PAS_3,PF08447.15,2.7e-13,5.2e-17,5.1e-13,3,74,165,234,163,240,0.94
PTB37474.1,KZ679267.1,hypothetical protein,13049,13351,-,Kinesin,PF00225.26,2.5e-110,2.5e-114,2.5e-110,1,332,34,366,34,366,0.95
PTB37474.1,KZ679267.1,hypothetical protein,13049,13351,-,Kinesin,PF00225.26,2.5e-110,0.6,5.9e+03,133,160,603,630,564,653,0.55
PTB37474.1,KZ679267.1,hypothetical protein,13049,13351,-,Kinesin,PF00225.26,2.5e-110,0.64,6.2e+03,222,246,990,1014,978,1022,0.69
PTB37474.1,KZ679267.1,hypothetical protein,13049,13351,-,Microtub_bd,PF16796.8,1.5e-25,2e-29,2e-25,21,156,28,178,25,178,0.84
PTB37474.1,KZ679267.1,hypothetical protein,13049,13351,-,Microtub_bd,PF16796.8,1.5e-25,0.31,3e+03,55,104,738,789,698,821,0.59
PTB37474.1,KZ679267.1,hypothetical protein,9949,12960,-,Kinesin,PF00225.26,2.5e-110,2.5e-114,2.5e-110,1,332,34,366,34,366,0.95
PTB37474.1,KZ679267.1,hypothetical protein,9949,12960,-,Kinesin,PF00225.26,2.5e-110,0.6,5.9e+03,133,160,603,630,564,653,0.55
PTB37474.1,KZ679267.1,hypothetical protein,9949,12960,-,Kinesin,PF00225.26,2.5e-110,0.64,6.2e+03,222,246,990,1014,978,1022,0.69
PTB37474.1,KZ679267.1,hypothetical protein,9949,12960,-,Microtub_bd,PF16796.8,1.5e-25,2e-29,2e-25,21,156,28,178,25,178,0.84
PTB37474.1,KZ679267.1,hypothetical protein,9949,12960,-,Microtub_bd,PF16796.8,1.5e-25,0.31,3e+03,55,104,738,789,698,821,0.59
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,MFS_1,PF07690.19,1.1e-49,2.2e-53,1.4e-49,1,350,102,498,102,501,0.91
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,MFS_1,PF07690.19,1.1e-49,0.25,1.6e+03,154,173,566,583,538,608,0.60
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,TRI12,PF06609.16,2.5e-24,5.9e-28,3.8e-24,59,313,112,359,84,393,0.84
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,TRI12,PF06609.16,2.5e-24,0.057,3.7e+02,453,479,462,488,437,501,0.82
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,Sugar_tr,PF00083.27,2.6e-15,3.9e-19,2.6e-15,44,191,129,270,49,272,0.87
PTB37475.1,KZ679267.1,hypothetical protein,14446,16317,-,Sugar_tr,PF00083.27,2.6e-15,0.29,1.9e+03,319,365,293,336,291,373,0.83
