ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34804.1,KZ679296.1,hypothetical protein,1712,1786,-,DUF4112,PF13430.9,3.8e-34,2.5e-38,5.0e-34,2,105,64,167,63,167,9.7e-01
PTB34805.1,KZ679296.1,hypothetical protein,3100,3130,+,DCP2,PF05026.16,7.3e-31,1.3e-34,1.2e-30,1,83,10,93,10,93,9.7e-01
PTB34805.1,KZ679296.1,hypothetical protein,3100,3130,+,NUDIX,PF00293.31,6.8e-17,1.3e-20,1.3e-16,3,121,97,218,95,226,7.5e-01
PTB34808.1,KZ679296.1,hypothetical protein,10917,10973,+,Ceramidase,PF05875.15,1.6e-52,3.4e-21,6.6e-17,13,79,20,86,11,87,9.6e-01
PTB34808.1,KZ679296.1,hypothetical protein,10917,10973,+,Ceramidase,PF05875.15,1.6e-52,2.5e-39,4.8e-35,105,250,89,233,86,239,9.5e-01
PTB34810.1,KZ679296.1,hypothetical protein,17904,18164,-,E1-E2_ATPase,PF00122.23,4.3e-39,5.4e-01,2.1e+03,111,137,74,100,65,120,5.3e-01
PTB34810.1,KZ679296.1,hypothetical protein,17904,18164,-,E1-E2_ATPase,PF00122.23,4.3e-39,3.0e-36,1.2e-32,2,117,136,265,135,274,9.7e-01
PTB34810.1,KZ679296.1,hypothetical protein,17904,18164,-,E1-E2_ATPase,PF00122.23,4.3e-39,2.8e-10,1.1e-06,109,180,294,363,286,364,9.2e-01
PTB34810.1,KZ679296.1,hypothetical protein,17904,18164,-,Cation_ATPase,PF13246.9,7.1e-18,4.8e-21,1.9e-17,3,90,471,561,469,562,9.1e-01
PTB34810.1,KZ679296.1,hypothetical protein,17904,18164,-,Cation_ATPase_C,PF00689.24,1.9e-23,4.7e-27,1.9e-23,3,181,829,1028,827,1029,8.6e-01
PTB34812.1,KZ679296.1,lytic polysaccharide monooxygenase,21263,21380,+,AA9,PF03443.17,2.7e-61,1.7e-65,3.3e-61,1,200,22,238,22,242,9.2e-01
PTB34813.1,KZ679296.1,hypothetical protein,25811,26584,+,bZIP_1,PF00170.24,3.5e-14,3.7e-18,7.3e-14,5,63,129,187,126,188,9.6e-01
