ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34763.1,KZ679302.1,hypothetical protein,8629,8820,+,Ank_4,PF13637.9,8.7e-12,1.3e-01,1.2e+03,19,28,1,10,1,15,8.3e-01
PTB34763.1,KZ679302.1,hypothetical protein,8629,8820,+,Ank_4,PF13637.9,8.7e-12,4.2e-15,4.1e-11,1,48,16,62,16,64,9.5e-01
PTB34764.1,KZ679302.1,hypothetical protein,8971,9246,+,Ank_2,PF12796.10,6.2e-18,4.4e-15,2.1e-11,25,83,1,64,1,64,9.0e-01
PTB34764.1,KZ679302.1,hypothetical protein,8971,9246,+,Ank_3,PF13606.9,2.9e-15,1.2e-06,5.8e-03,2,26,67,90,66,92,9.2e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,1.4e-03,2.8e+01,1,23,52,72,52,73,9.1e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,7.4e-06,1.5e-01,1,38,121,156,121,162,8.3e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,7.3e-09,1.4e-04,1,51,212,253,212,253,9.4e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,2.0e-09,4.0e-05,1,51,303,344,303,344,9.5e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,7.2e-02,1.4e+03,6,23,1073,1090,1071,1091,8.9e-01
PTB34765.1,KZ679302.1,hypothetical protein,12241,12456,+,PAN_4,PF14295.9,9.0e-16,1.0e-04,2.0e+00,14,38,1196,1220,1186,1237,8.3e-01
