ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB35123.1,KZ679280.1,hypothetical protein,13789,13871,+,Sulfotransfer_4,PF17784.4,1.6e-46,9.3e-51,1.8e-46,1,212,20,239,20,243,0.91
PTB35123.1,KZ679280.1,hypothetical protein,13935,14691,+,Sulfotransfer_4,PF17784.4,1.6e-46,9.3e-51,1.8e-46,1,212,20,239,20,243,0.91
PTB35124.1,KZ679280.1,hypothetical protein,17412,17494,+,DUF4863,PF16155.8,1.1e-70,6.5e-75,1.3e-70,2,153,17,171,16,171,0.99
PTB35124.1,KZ679280.1,hypothetical protein,17550,18021,+,DUF4863,PF16155.8,1.1e-70,6.5e-75,1.3e-70,2,153,17,171,16,171,0.99
PTB35125.1,KZ679280.1,hypothetical protein,18224,18602,+,Fungal_trans,PF04082.21,9.9e-16,9.3e-20,1.8e-15,4,180,193,356,190,417,0.88
PTB35125.1,KZ679280.1,hypothetical protein,18694,18902,+,Fungal_trans,PF04082.21,9.9e-16,9.3e-20,1.8e-15,4,180,193,356,190,417,0.88
PTB35125.1,KZ679280.1,hypothetical protein,18997,19391,+,Fungal_trans,PF04082.21,9.9e-16,9.3e-20,1.8e-15,4,180,193,356,190,417,0.88
PTB35125.1,KZ679280.1,hypothetical protein,19454,20077,+,Fungal_trans,PF04082.21,9.9e-16,9.3e-20,1.8e-15,4,180,193,356,190,417,0.88
PTB35125.1,KZ679280.1,hypothetical protein,20150,20657,+,Fungal_trans,PF04082.21,9.9e-16,9.3e-20,1.8e-15,4,180,193,356,190,417,0.88
PTB35126.1,KZ679280.1,hypothetical protein,21308,21392,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,21308,21392,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35126.1,KZ679280.1,hypothetical protein,21457,21911,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,21457,21911,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35126.1,KZ679280.1,hypothetical protein,21982,22108,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,21982,22108,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35126.1,KZ679280.1,hypothetical protein,22166,22249,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,22166,22249,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35126.1,KZ679280.1,hypothetical protein,22347,22433,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,22347,22433,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35126.1,KZ679280.1,hypothetical protein,22496,22617,+,adh_short,PF00106.28,1.7e-20,2e-18,4e-14,21,142,49,170,27,175,0.86
PTB35126.1,KZ679280.1,hypothetical protein,22496,22617,+,adh_short,PF00106.28,1.7e-20,5.2e-08,0.001,142,190,184,233,179,238,0.92
PTB35128.1,KZ679280.1,hypothetical protein,26652,27932,+,SLAC1,PF03595.20,4.5e-81,2.6e-85,5.2e-81,1,325,57,395,57,396,0.94
PTB35129.1,KZ679280.1,hypothetical protein,30068,32035,+,ABC_tran,PF00005.30,3.9e-32,1e-35,1e-31,2,137,434,582,433,582,0.88
PTB35129.1,KZ679280.1,hypothetical protein,30068,32035,+,ABC_membrane,PF00664.26,4.3e-15,5.7e-19,5.6e-15,1,273,101,370,101,371,0.97
PTB35130.1,KZ679280.1,hypothetical protein,35849,36017,-,RTA1,PF04479.16,1.9e-48,9.9e-53,1.9e-48,2,203,152,368,151,370,0.95
PTB35130.1,KZ679280.1,hypothetical protein,35532,35797,-,RTA1,PF04479.16,1.9e-48,9.9e-53,1.9e-48,2,203,152,368,151,370,0.95
PTB35130.1,KZ679280.1,hypothetical protein,35333,35468,-,RTA1,PF04479.16,1.9e-48,9.9e-53,1.9e-48,2,203,152,368,151,370,0.95
PTB35130.1,KZ679280.1,hypothetical protein,34886,35265,-,RTA1,PF04479.16,1.9e-48,9.9e-53,1.9e-48,2,203,152,368,151,370,0.95
PTB35130.1,KZ679280.1,hypothetical protein,34553,34825,-,RTA1,PF04479.16,1.9e-48,9.9e-53,1.9e-48,2,203,152,368,151,370,0.95
PTB35132.1,KZ679280.1,hypothetical protein,40539,40715,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35132.1,KZ679280.1,hypothetical protein,40741,41264,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35132.1,KZ679280.1,hypothetical protein,41340,41784,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35132.1,KZ679280.1,hypothetical protein,41864,42122,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35132.1,KZ679280.1,hypothetical protein,42195,42359,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35132.1,KZ679280.1,hypothetical protein,42437,42732,+,Peptidase_S10,PF00450.25,3.6e-79,2.5e-83,4.9e-79,5,420,65,541,61,542,0.86
PTB35133.1,KZ679280.1,GMC oxidoreductase,43663,45666,+,GMC_oxred_N,PF00732.22,1.3e-32,6.8e-05,0.67,1,59,53,112,53,129,0.83
PTB35133.1,KZ679280.1,GMC oxidoreductase,43663,45666,+,GMC_oxred_N,PF00732.22,1.3e-32,8.6e-33,8.4e-29,73,295,154,420,143,421,0.85
PTB35133.1,KZ679280.1,GMC oxidoreductase,43663,45666,+,GMC_oxred_C,PF05199.16,1.6e-28,2.6e-32,2.5e-28,3,145,521,658,518,658,0.93
PTB35136.1,KZ679280.1,hypothetical protein,50274,50585,+,MFS_1,PF07690.19,3.6e-45,3.7e-49,3.6e-45,3,352,83,494,81,495,0.84
PTB35136.1,KZ679280.1,hypothetical protein,50274,50585,+,MFS_1,PF07690.19,3.6e-45,0.00014,1.4,69,169,419,526,407,547,0.74
PTB35136.1,KZ679280.1,hypothetical protein,50274,50585,+,Sugar_tr,PF00083.27,1.2e-12,1.2e-16,1.2e-12,16,201,81,261,72,268,0.87
PTB35136.1,KZ679280.1,hypothetical protein,50274,50585,+,Sugar_tr,PF00083.27,1.2e-12,0.016,1.5e+02,290,343,318,373,306,385,0.73
PTB35136.1,KZ679280.1,hypothetical protein,50274,50585,+,Sugar_tr,PF00083.27,1.2e-12,0.83,8.2e+03,374,385,467,478,415,525,0.42
PTB35136.1,KZ679280.1,hypothetical protein,50633,50873,+,MFS_1,PF07690.19,3.6e-45,3.7e-49,3.6e-45,3,352,83,494,81,495,0.84
PTB35136.1,KZ679280.1,hypothetical protein,50633,50873,+,MFS_1,PF07690.19,3.6e-45,0.00014,1.4,69,169,419,526,407,547,0.74
PTB35136.1,KZ679280.1,hypothetical protein,50633,50873,+,Sugar_tr,PF00083.27,1.2e-12,1.2e-16,1.2e-12,16,201,81,261,72,268,0.87
PTB35136.1,KZ679280.1,hypothetical protein,50633,50873,+,Sugar_tr,PF00083.27,1.2e-12,0.016,1.5e+02,290,343,318,373,306,385,0.73
PTB35136.1,KZ679280.1,hypothetical protein,50633,50873,+,Sugar_tr,PF00083.27,1.2e-12,0.83,8.2e+03,374,385,467,478,415,525,0.42
PTB35136.1,KZ679280.1,hypothetical protein,50935,51003,+,MFS_1,PF07690.19,3.6e-45,3.7e-49,3.6e-45,3,352,83,494,81,495,0.84
PTB35136.1,KZ679280.1,hypothetical protein,50935,51003,+,MFS_1,PF07690.19,3.6e-45,0.00014,1.4,69,169,419,526,407,547,0.74
PTB35136.1,KZ679280.1,hypothetical protein,50935,51003,+,Sugar_tr,PF00083.27,1.2e-12,1.2e-16,1.2e-12,16,201,81,261,72,268,0.87
PTB35136.1,KZ679280.1,hypothetical protein,50935,51003,+,Sugar_tr,PF00083.27,1.2e-12,0.016,1.5e+02,290,343,318,373,306,385,0.73
PTB35136.1,KZ679280.1,hypothetical protein,50935,51003,+,Sugar_tr,PF00083.27,1.2e-12,0.83,8.2e+03,374,385,467,478,415,525,0.42
PTB35136.1,KZ679280.1,hypothetical protein,51075,51521,+,MFS_1,PF07690.19,3.6e-45,3.7e-49,3.6e-45,3,352,83,494,81,495,0.84
PTB35136.1,KZ679280.1,hypothetical protein,51075,51521,+,MFS_1,PF07690.19,3.6e-45,0.00014,1.4,69,169,419,526,407,547,0.74
PTB35136.1,KZ679280.1,hypothetical protein,51075,51521,+,Sugar_tr,PF00083.27,1.2e-12,1.2e-16,1.2e-12,16,201,81,261,72,268,0.87
PTB35136.1,KZ679280.1,hypothetical protein,51075,51521,+,Sugar_tr,PF00083.27,1.2e-12,0.016,1.5e+02,290,343,318,373,306,385,0.73
PTB35136.1,KZ679280.1,hypothetical protein,51075,51521,+,Sugar_tr,PF00083.27,1.2e-12,0.83,8.2e+03,374,385,467,478,415,525,0.42
PTB35136.1,KZ679280.1,hypothetical protein,51587,52164,+,MFS_1,PF07690.19,3.6e-45,3.7e-49,3.6e-45,3,352,83,494,81,495,0.84
PTB35136.1,KZ679280.1,hypothetical protein,51587,52164,+,MFS_1,PF07690.19,3.6e-45,0.00014,1.4,69,169,419,526,407,547,0.74
PTB35136.1,KZ679280.1,hypothetical protein,51587,52164,+,Sugar_tr,PF00083.27,1.2e-12,1.2e-16,1.2e-12,16,201,81,261,72,268,0.87
PTB35136.1,KZ679280.1,hypothetical protein,51587,52164,+,Sugar_tr,PF00083.27,1.2e-12,0.016,1.5e+02,290,343,318,373,306,385,0.73
PTB35136.1,KZ679280.1,hypothetical protein,51587,52164,+,Sugar_tr,PF00083.27,1.2e-12,0.83,8.2e+03,374,385,467,478,415,525,0.42
PTB35141.1,KZ679280.1,hypothetical protein,63105,63235,+,GLEYA,PF10528.12,2.7e-16,0.49,9.5e+03,57,66,70,79,49,103,0.55
PTB35141.1,KZ679280.1,hypothetical protein,63105,63235,+,GLEYA,PF10528.12,2.7e-16,0.2,3.9e+03,51,64,111,127,69,131,0.55
PTB35141.1,KZ679280.1,hypothetical protein,63105,63235,+,GLEYA,PF10528.12,2.7e-16,2e-20,3.8e-16,1,89,229,323,229,324,0.82
PTB35141.1,KZ679280.1,hypothetical protein,63705,64620,+,GLEYA,PF10528.12,2.7e-16,0.49,9.5e+03,57,66,70,79,49,103,0.55
PTB35141.1,KZ679280.1,hypothetical protein,63705,64620,+,GLEYA,PF10528.12,2.7e-16,0.2,3.9e+03,51,64,111,127,69,131,0.55
PTB35141.1,KZ679280.1,hypothetical protein,63705,64620,+,GLEYA,PF10528.12,2.7e-16,2e-20,3.8e-16,1,89,229,323,229,324,0.82
PTB35142.1,KZ679280.1,glycoside hydrolase family 3 protein,67281,67449,-,Glyco_hydro_3_C,PF01915.25,4.2e-50,9.8e-54,6.4e-50,1,204,427,675,427,675,0.89
