ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB39767.1,KZ679263.1,hypothetical protein,9412,9816,-,Ran_BP1,PF00638.21,5.2e-12,3.1e-08,1.5e-04,1,40,327,365,327,369,9.2e-01
PTB39767.1,KZ679263.1,hypothetical protein,9412,9816,-,Ran_BP1,PF00638.21,5.2e-12,5.0e-08,2.4e-04,41,101,398,457,384,468,7.9e-01
PTB39767.1,KZ679263.1,hypothetical protein,9412,9816,-,DEAD,PF00270.32,1.2e-26,4.6e-30,2.3e-26,2,170,846,1018,845,1023,8.8e-01
PTB39767.1,KZ679263.1,hypothetical protein,9412,9816,-,Helicase_C,PF00271.34,8.5e-11,5.6e-14,2.7e-10,6,109,1076,1185,1071,1187,8.3e-01
PTB39767.1,KZ679263.1,hypothetical protein,9412,9816,-,MZB,PF09369.13,2.4e-21,1.6e-24,7.8e-21,1,83,1450,1539,1450,1539,9.5e-01
PTB39768.1,KZ679263.1,hypothetical protein,11861,11930,-,Yip1,PF04893.20,4.0e-15,3.4e-19,6.7e-15,18,172,160,292,151,293,7.6e-01
PTB39769.1,KZ679263.1,hypothetical protein,14798,14909,-,SWIRM,PF04433.20,7.7e-33,1.8e-36,1.8e-32,1,90,137,222,137,222,9.8e-01
PTB39769.1,KZ679263.1,hypothetical protein,14798,14909,-,SWIRM-assoc_1,PF16495.8,7.9e-30,1.8e-33,1.8e-29,1,83,558,640,558,641,9.8e-01
PTB39770.1,KZ679263.1,hypothetical protein,15662,16073,+,Sec7_N,PF12783.10,7.3e-18,2.1e-20,2.1e-16,6,157,371,568,367,569,9.2e-01
PTB39770.1,KZ679263.1,hypothetical protein,15662,16073,+,Sec7,PF01369.23,1.4e-62,2.8e-66,2.7e-62,1,183,633,818,633,818,9.6e-01
PTB39770.1,KZ679263.1,hypothetical protein,15662,16073,+,Sec7_N,PF12783.10,7.3e-18,4.4e-02,4.3e+02,54,101,1394,1445,1362,1480,7.1e-01
PTB39771.1,KZ679263.1,hypothetical protein,21757,22155,-,ELO,PF01151.21,1.1e-66,6.7e-71,1.3e-66,6,240,49,287,44,289,9.6e-01
PTB39774.1,KZ679263.1,hypothetical protein,27545,27844,-,ETF_alpha,PF00766.22,3.7e-33,7.0e-37,6.9e-33,1,81,225,306,225,306,9.8e-01
PTB39774.1,KZ679263.1,hypothetical protein,27545,27844,-,ETF,PF01012.24,6.3e-43,1.0e-46,1.0e-42,1,175,36,200,36,207,9.3e-01
PTB39775.1,KZ679263.1,hypothetical protein,29538,29715,+,PigN,PF04987.17,4.9e-159,1.5e-01,3.0e+03,78,99,17,38,7,49,8.0e-01
PTB39775.1,KZ679263.1,hypothetical protein,29538,29715,+,PigN,PF04987.17,4.9e-159,2.5e-163,4.9e-159,1,451,449,920,449,920,9.4e-01
PTB39776.1,KZ679263.1,hypothetical protein,34028,34826,-,PolyA_pol,PF01743.23,4.0e-27,5.8e-31,1.1e-26,2,126,56,201,55,201,8.1e-01
PTB39777.1,KZ679263.1,hypothetical protein,37242,37406,-,NAT,PF04768.16,8.0e-49,4.0e-02,7.9e+02,21,68,43,88,36,93,7.5e-01
PTB39777.1,KZ679263.1,hypothetical protein,37242,37406,-,NAT,PF04768.16,8.0e-49,2.5e-52,4.8e-48,10,160,435,617,427,630,9.2e-01
PTB39778.1,KZ679263.1,hypothetical protein,38599,40784,+,2_5_RNA_ligase2,PF13563.9,1.5e-30,4.8e-34,3.1e-30,1,150,21,171,21,172,9.4e-01
PTB39778.1,KZ679263.1,hypothetical protein,38599,40784,+,PAP_central,PF04928.20,4.1e-14,2.6e-17,1.7e-13,20,236,595,898,588,907,8.2e-01
PTB39778.1,KZ679263.1,hypothetical protein,38599,40784,+,MJ1316,PF04457.15,4.4e-18,1.4e-21,9.2e-18,2,75,1129,1198,1128,1198,8.7e-01
PTB39779.1,KZ679263.1,hypothetical protein,44426,44642,-,Exo70,PF03081.18,3.5e-94,3.6e-98,7.1e-94,2,371,249,632,248,634,9.8e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,2.2e-03,2.2e+01,89,126,656,692,653,748,6.7e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,2.4e-07,2.3e-03,44,145,538,639,530,645,8.5e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,4.9e-04,4.8e+00,74,135,408,522,404,530,7.6e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,5.3e-01,5.2e+03,74,120,37,80,34,95,7.3e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,4.2e-06,4.2e-02,59,148,100,189,89,208,8.2e-01
PTB39781.1,KZ679263.1,hypothetical protein,48549,48593,-,Suf,PF05843.17,5.0e-14,7.4e-04,7.3e+00,79,120,270,311,255,322,8.5e-01
PTB39782.1,KZ679263.1,hypothetical protein,49006,49020,+,ATP-synt_D,PF01813.20,7.4e-71,4.7e-75,9.1e-71,2,195,17,209,16,210,9.6e-01
PTB39783.1,KZ679263.1,hypothetical protein,51055,51080,-,RRM_1,PF00076.25,4.1e-26,1.2e-16,2.4e-12,1,69,10,80,10,81,9.1e-01
PTB39783.1,KZ679263.1,hypothetical protein,51055,51080,-,RRM_1,PF00076.25,4.1e-26,3.0e-15,6.0e-11,1,70,171,236,171,236,9.7e-01
PTB39784.1,KZ679263.1,hypothetical protein,54904,55868,+,AMP-binding,PF00501.31,4.6e-61,7.0e-65,6.9e-61,45,423,160,522,125,523,8.6e-01
PTB39784.1,KZ679263.1,hypothetical protein,54904,55868,+,PP-binding,PF00550.28,8.6e-14,1.8e-17,1.8e-13,2,67,773,838,772,838,9.7e-01
