ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34891.1,KZ679289.1,hypothetical protein,15923,16114,-,ABC_membrane,PF00664.26,7.3e-19,1.6e-06,1.5e-02,4,274,266,533,263,533,8.3e-01
PTB34891.1,KZ679289.1,hypothetical protein,15923,16114,-,ABC_tran,PF00005.30,1.7e-36,1.0e-17,9.9e-14,3,136,620,754,618,755,8.8e-01
PTB34891.1,KZ679289.1,hypothetical protein,15923,16114,-,ABC_membrane,PF00664.26,7.3e-19,6.9e-20,6.7e-16,2,238,891,1127,890,1155,8.5e-01
PTB34891.1,KZ679289.1,hypothetical protein,15923,16114,-,ABC_tran,PF00005.30,1.7e-36,1.5e-23,1.5e-19,2,137,1226,1372,1225,1372,9.4e-01
PTB34895.1,KZ679289.1,hypothetical protein,21316,21634,+,MFS_1,PF07690.19,1.4e-12,7.2e-17,1.4e-12,33,315,95,415,43,451,7.2e-01
PTB34895.1,KZ679289.1,hypothetical protein,21316,21634,+,MFS_1,PF07690.19,1.4e-12,1.2e-01,2.4e+03,226,266,447,484,415,491,6.5e-01
PTB34896.1,KZ679289.1,hypothetical protein,24229,24459,+,Ank_4,PF13637.9,8.5e-23,1.4e-07,5.7e-04,30,55,4,29,1,29,8.9e-01
PTB34896.1,KZ679289.1,hypothetical protein,24229,24459,+,Ank_4,PF13637.9,8.5e-23,1.1e-08,4.3e-05,1,37,42,77,42,77,9.4e-01
PTB34898.1,KZ679289.1,hypothetical protein,29536,29679,-,Mito_carr,PF00153.30,4.0e-49,1.7e-21,3.3e-17,3,94,28,121,26,124,9.0e-01
PTB34898.1,KZ679289.1,hypothetical protein,29536,29679,-,Mito_carr,PF00153.30,4.0e-49,6.8e-19,1.3e-14,2,92,126,216,125,220,9.2e-01
PTB34898.1,KZ679289.1,hypothetical protein,29536,29679,-,Mito_carr,PF00153.30,4.0e-49,9.9e-18,1.9e-13,5,94,228,310,225,313,9.2e-01
PTB34899.1,KZ679289.1,hypothetical protein,30803,30907,+,Fungal_trans,PF04082.21,7.5e-25,5.6e-29,1.1e-24,2,266,203,454,202,455,8.5e-01
PTB34900.1,KZ679289.1,hypothetical protein,33692,34084,+,PrpF,PF04303.16,1.9e-76,7.4e-79,1.4e-74,4,382,15,404,12,406,8.6e-01
PTB34901.1,KZ679289.1,hypothetical protein,37164,37327,-,Sugar_tr,PF00083.27,9.3e-119,1.1e-122,1.1e-118,2,452,27,492,26,492,9.6e-01
PTB34902.1,KZ679289.1,hypothetical protein,39941,40690,-,Methyltransf_3,PF01596.20,5.0e-33,6.2e-37,6.1e-33,10,195,46,236,38,249,8.7e-01
