ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34904.1,KZ679288.1,hypothetical protein,4498,4582,+,adh_short,PF00106.28,8.6e-19,4.5e-21,4.4e-17,1,124,22,144,22,175,8.9e-01
PTB34904.1,KZ679288.1,hypothetical protein,4498,4582,+,adh_short,PF00106.28,8.6e-19,4.2e-03,4.1e+01,148,189,190,229,178,234,8.4e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,ABC_tran,PF00005.30,4.6e-38,3.4e-20,1.6e-16,1,136,124,283,124,284,8.9e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,ABC2_membrane,PF01061.27,1.5e-85,3.3e-49,1.6e-45,1,210,447,657,447,657,9.7e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,ABC2_membrane,PF01061.27,1.5e-85,7.8e-02,3.8e+02,2,44,703,743,702,753,7.9e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,ABC_tran,PF00005.30,4.6e-38,3.8e-22,1.9e-18,1,137,818,969,818,969,9.4e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,ABC2_membrane,PF01061.27,1.5e-85,4.4e-44,2.1e-40,1,206,1114,1322,1114,1324,9.7e-01
PTB34905.1,KZ679288.1,hypothetical protein,11352,12435,-,PDR_CDR,PF06422.15,7.1e-27,2.5e-02,1.3e+02,30,78,1381,1429,1371,1430,7.7e-01
PTB34906.1,KZ679288.1,hypothetical protein,16130,16663,+,Beta-lactamase,PF00144.27,1.0e-16,6.2e-21,1.2e-16,141,292,7,173,2,177,8.1e-01
PTB34907.1,KZ679288.1,hypothetical protein,17325,18167,-,adh_short,PF00106.28,2.1e-47,2.9e-51,2.8e-47,4,193,7,193,5,195,9.5e-01
PTB34908.1,KZ679288.1,hypothetical protein,18980,19039,+,Fungal_trans,PF04082.21,2.9e-20,5.6e-02,1.1e+03,34,126,295,403,275,405,5.9e-01
PTB34908.1,KZ679288.1,hypothetical protein,18980,19039,+,Fungal_trans,PF04082.21,2.9e-20,2.1e-24,4.0e-20,1,186,39,222,39,242,8.8e-01
PTB34909.1,KZ679288.1,hypothetical protein,24292,24651,-,tRNA-synt_1,PF00133.25,1.2e-206,7.6e-209,3.7e-205,2,601,86,712,85,713,9.6e-01
PTB34909.1,KZ679288.1,hypothetical protein,24292,24651,-,Anticodon_1,PF08264.16,8.1e-29,4.7e-32,2.3e-28,1,125,758,883,758,910,8.6e-01
PTB34909.1,KZ679288.1,hypothetical protein,24292,24651,-,tRNA-synt_1_2,PF13603.9,1.7e-12,7.8e-01,3.8e+03,49,77,967,995,951,999,7.8e-01
PTB34912.1,KZ679288.1,hypothetical protein,41821,42111,-,Sugar_tr,PF00083.27,3.9e-68,2.4e-72,4.7e-68,1,452,89,542,89,542,9.3e-01
PTB34913.1,KZ679288.1,hypothetical protein,46153,46209,+,ABM,PF03992.19,3.7e-13,2.4e-17,4.7e-13,4,77,6,78,4,79,9.6e-01
PTB34917.1,KZ679288.1,hypothetical protein,49888,50060,+,GLEYA,PF10528.12,5.0e-19,2.1e-01,4.1e+03,42,59,94,97,55,128,4.7e-01
PTB34917.1,KZ679288.1,hypothetical protein,49888,50060,+,GLEYA,PF10528.12,5.0e-19,6.6e-01,1.3e+04,52,68,215,231,198,234,5.5e-01
PTB34917.1,KZ679288.1,hypothetical protein,49888,50060,+,GLEYA,PF10528.12,5.0e-19,2.5e-23,5.0e-19,2,91,303,395,302,395,9.0e-01
PTB34917.1,KZ679288.1,hypothetical protein,49888,50060,+,GLEYA,PF10528.12,5.0e-19,2.9e-01,5.7e+03,1,12,400,411,400,415,7.9e-01
