ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34823.1,KZ679294.1,hypothetical protein,11535,11987,+,adh_short_C2,PF13561.9,4.8e-31,5.6e-35,5.5e-31,99,234,2,149,1,149,0.91
PTB34823.1,KZ679294.1,hypothetical protein,11535,11987,+,adh_short,PF00106.28,1.3e-17,1.7e-21,1.6e-17,104,192,1,98,1,101,0.86
PTB34824.1,KZ679294.1,hypothetical protein,15481,15591,+,Gpr1_Fun34_YaaH,PF01184.22,1.2e-39,7.5e-44,1.5e-39,16,191,33,215,20,226,0.94
PTB34824.1,KZ679294.1,hypothetical protein,15664,15859,+,Gpr1_Fun34_YaaH,PF01184.22,1.2e-39,7.5e-44,1.5e-39,16,191,33,215,20,226,0.94
PTB34824.1,KZ679294.1,hypothetical protein,15949,16059,+,Gpr1_Fun34_YaaH,PF01184.22,1.2e-39,7.5e-44,1.5e-39,16,191,33,215,20,226,0.94
PTB34824.1,KZ679294.1,hypothetical protein,16118,16163,+,Gpr1_Fun34_YaaH,PF01184.22,1.2e-39,7.5e-44,1.5e-39,16,191,33,215,20,226,0.94
PTB34824.1,KZ679294.1,hypothetical protein,16216,16480,+,Gpr1_Fun34_YaaH,PF01184.22,1.2e-39,7.5e-44,1.5e-39,16,191,33,215,20,226,0.94
PTB34827.1,KZ679294.1,hypothetical protein,23912,23945,-,Fungal_trans,PF04082.21,3.4e-17,3.2e-21,6.3e-17,1,266,183,429,183,435,0.82
PTB34827.1,KZ679294.1,hypothetical protein,23669,23864,-,Fungal_trans,PF04082.21,3.4e-17,3.2e-21,6.3e-17,1,266,183,429,183,435,0.82
PTB34827.1,KZ679294.1,hypothetical protein,22254,23612,-,Fungal_trans,PF04082.21,3.4e-17,3.2e-21,6.3e-17,1,266,183,429,183,435,0.82
PTB34827.1,KZ679294.1,hypothetical protein,21801,22188,-,Fungal_trans,PF04082.21,3.4e-17,3.2e-21,6.3e-17,1,266,183,429,183,435,0.82
PTB34828.1,KZ679294.1,hypothetical protein,26714,26837,+,ADH_zinc_N,PF00107.29,8e-27,1.6e-30,1.5e-26,1,124,181,307,181,313,0.90
PTB34828.1,KZ679294.1,hypothetical protein,26714,26837,+,ADH_zinc_N_2,PF13602.9,5e-13,1.1e-16,1.1e-12,1,131,213,348,213,350,0.73
PTB34828.1,KZ679294.1,hypothetical protein,26893,26912,+,ADH_zinc_N,PF00107.29,8e-27,1.6e-30,1.5e-26,1,124,181,307,181,313,0.90
PTB34828.1,KZ679294.1,hypothetical protein,26893,26912,+,ADH_zinc_N_2,PF13602.9,5e-13,1.1e-16,1.1e-12,1,131,213,348,213,350,0.73
PTB34828.1,KZ679294.1,hypothetical protein,26972,27889,+,ADH_zinc_N,PF00107.29,8e-27,1.6e-30,1.5e-26,1,124,181,307,181,313,0.90
PTB34828.1,KZ679294.1,hypothetical protein,26972,27889,+,ADH_zinc_N_2,PF13602.9,5e-13,1.1e-16,1.1e-12,1,131,213,348,213,350,0.73
PTB34830.1,KZ679294.1,hypothetical protein,31692,31757,-,RTA1,PF04479.16,3.5e-36,0.68,1.3e+04,29,36,57,64,50,71,0.43
PTB34830.1,KZ679294.1,hypothetical protein,31692,31757,-,RTA1,PF04479.16,3.5e-36,4.2e-09,8.2e-05,1,34,84,116,84,118,0.93
PTB34830.1,KZ679294.1,hypothetical protein,31692,31757,-,RTA1,PF04479.16,3.5e-36,1.2e-35,2.3e-31,61,204,115,252,114,254,0.93
PTB34830.1,KZ679294.1,hypothetical protein,31283,31554,-,RTA1,PF04479.16,3.5e-36,0.68,1.3e+04,29,36,57,64,50,71,0.43
PTB34830.1,KZ679294.1,hypothetical protein,31283,31554,-,RTA1,PF04479.16,3.5e-36,4.2e-09,8.2e-05,1,34,84,116,84,118,0.93
PTB34830.1,KZ679294.1,hypothetical protein,31283,31554,-,RTA1,PF04479.16,3.5e-36,1.2e-35,2.3e-31,61,204,115,252,114,254,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30861,31124,-,RTA1,PF04479.16,3.5e-36,0.68,1.3e+04,29,36,57,64,50,71,0.43
PTB34830.1,KZ679294.1,hypothetical protein,30861,31124,-,RTA1,PF04479.16,3.5e-36,4.2e-09,8.2e-05,1,34,84,116,84,118,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30861,31124,-,RTA1,PF04479.16,3.5e-36,1.2e-35,2.3e-31,61,204,115,252,114,254,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30646,30797,-,RTA1,PF04479.16,3.5e-36,0.68,1.3e+04,29,36,57,64,50,71,0.43
PTB34830.1,KZ679294.1,hypothetical protein,30646,30797,-,RTA1,PF04479.16,3.5e-36,4.2e-09,8.2e-05,1,34,84,116,84,118,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30646,30797,-,RTA1,PF04479.16,3.5e-36,1.2e-35,2.3e-31,61,204,115,252,114,254,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30502,30539,-,RTA1,PF04479.16,3.5e-36,0.68,1.3e+04,29,36,57,64,50,71,0.43
PTB34830.1,KZ679294.1,hypothetical protein,30502,30539,-,RTA1,PF04479.16,3.5e-36,4.2e-09,8.2e-05,1,34,84,116,84,118,0.93
PTB34830.1,KZ679294.1,hypothetical protein,30502,30539,-,RTA1,PF04479.16,3.5e-36,1.2e-35,2.3e-31,61,204,115,252,114,254,0.93
PTB34831.1,KZ679294.1,hypothetical protein,32247,32337,+,MARVEL,PF01284.26,6.7e-24,4.2e-28,8.3e-24,6,143,10,149,6,150,0.92
PTB34831.1,KZ679294.1,hypothetical protein,32400,32833,+,MARVEL,PF01284.26,6.7e-24,4.2e-28,8.3e-24,6,143,10,149,6,150,0.92
