ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB34847.1,KZ679292.1,hypothetical protein,515,1707,+,DDHD,PF02862.20,2.3e-26,2.9e-01,5.7e+03,141,186,222,299,67,337,4.8e-01
PTB34847.1,KZ679292.1,hypothetical protein,515,1707,+,DDHD,PF02862.20,2.3e-26,2.0e-19,3.9e-15,1,87,789,887,789,915,8.5e-01
PTB34847.1,KZ679292.1,hypothetical protein,515,1707,+,DDHD,PF02862.20,2.3e-26,1.5e-12,3.0e-08,196,250,932,988,908,991,8.7e-01
PTB34848.1,KZ679292.1,hypothetical protein,6895,6911,-,DEAD_2,PF06733.18,7.0e-55,1.1e-58,7.0e-55,1,174,71,254,71,255,9.7e-01
PTB34848.1,KZ679292.1,hypothetical protein,6895,6911,-,DEAD_2,PF06733.18,7.0e-55,1.1e+00,6.9e+03,3,24,259,280,258,291,7.5e-01
PTB34848.1,KZ679292.1,hypothetical protein,6895,6911,-,HBB,PF06777.14,2.8e-47,3.1e-05,2.0e-01,118,162,429,474,424,484,8.3e-01
PTB34848.1,KZ679292.1,hypothetical protein,6895,6911,-,Helicase_C_2,PF13307.9,9.8e-44,8.3e-47,5.4e-43,2,169,524,696,523,697,9.2e-01
PTB34849.1,KZ679292.1,hypothetical protein,8369,8502,-,CDP-OH_P_transf,PF01066.24,8.4e-26,5.9e-30,1.2e-25,2,144,86,254,85,267,8.7e-01
PTB34851.1,KZ679292.1,hypothetical protein,9876,9914,-,Ribosomal_S10,PF00338.25,8.3e-24,7.4e-28,1.5e-23,2,97,93,188,92,189,9.8e-01
PTB34853.1,KZ679292.1,hypothetical protein,14418,14424,-,Ribosomal_L29e,PF01779.20,4.9e-22,4.0e-26,7.8e-22,1,40,3,42,3,42,1.0e+00
PTB34855.1,KZ679292.1,hypothetical protein,18598,18810,-,Fcf2,PF08698.14,8.8e-31,1.1e-34,2.3e-30,2,94,71,161,70,163,9.5e-01
PTB34856.1,KZ679292.1,hypothetical protein,19398,19485,+,Histone,PF00125.27,3.0e-16,3.4e-20,3.4e-16,53,124,80,150,64,153,9.1e-01
PTB34856.1,KZ679292.1,hypothetical protein,19398,19485,+,Histone,PF00125.27,3.0e-16,3.1e-01,3.0e+03,106,117,168,179,166,182,8.3e-01
PTB34857.1,KZ679292.1,hypothetical protein,23576,23626,-,Sec15,PF04091.15,5.1e-115,1.1e-01,2.1e+03,54,108,174,228,153,264,7.1e-01
PTB34857.1,KZ679292.1,hypothetical protein,23576,23626,-,Sec15,PF04091.15,5.1e-115,2.6e-119,5.1e-115,1,316,450,750,450,750,9.8e-01
PTB34858.1,KZ679292.1,hypothetical protein,24237,24290,+,RasGAP,PF00616.22,4.4e-34,2.6e-01,5.2e+03,119,162,934,982,933,986,7.0e-01
PTB34858.1,KZ679292.1,hypothetical protein,24237,24290,+,RasGAP,PF00616.22,4.4e-34,2.5e-13,4.9e-09,1,70,1195,1264,1195,1268,9.5e-01
PTB34858.1,KZ679292.1,hypothetical protein,24237,24290,+,RasGAP,PF00616.22,4.4e-34,9.4e-27,1.8e-22,102,208,1265,1367,1262,1367,9.8e-01
